,label
35940,1
734,0
19550,1
22020,0
21733,1
22098,0
21549,1
4086,1
17466,0
18418,1
8499,1
857,1
32030,0
13867,0
28714,0
5893,1
35168,1
23566,1
216,1
25157,0
38014,0
26686,1
34607,0
32170,0
5715,1
3248,0
32114,0
27660,1
35760,1
9803,1
23230,1
36908,1
4817,0
2231,0
28606,0
25392,1
11754,1
32416,0
2182,1
21191,1
20825,1
20146,1
31771,1
4968,0
11791,0
16133,0
10347,0
31240,0
24381,0
27479,0
10065,1
33750,1
9621,1
5762,0
6705,1
32623,1
39344,1
37864,0
25424,1
28065,1
27653,1
11237,0
6204,0
21290,1
39710,0
17284,0
5199,0
26103,1
23139,1
24546,0
2743,1
6925,1
10026,1
11032,1
13664,1
5018,1
29736,1
5148,1
31458,1
27577,1
532,1
9237,0
12248,1
14813,1
31674,1
21499,1
15041,0
9242,1
37807,1
32948,0
35383,1
37184,1
17937,1
5809,0
11069,1
24717,1
29581,0
37222,1
26556,0
5857,1
33193,0
33708,0
11749,1
16337,0
1451,1
4048,1
23766,1
5401,1
14473,1
19918,0
27568,0
18397,0
31313,1
24436,1
38329,1
34866,0
1442,0
17896,1
11129,0
8037,0
27875,1
33583,1
18503,1
13791,1
13462,1
21287,0
13552,1
7625,1
19395,1
19024,1
34564,0
33700,0
8966,0
2813,1
4199,1
26653,1
2276,1
39098,1
27441,1
967,0
20626,1
38148,0
12538,1
29456,1
36626,1
5795,0
19015,0
14927,0
33131,0
34315,0
24001,0
10410,0
18180,1
12277,1
12050,1
25499,1
29944,0
14099,0
33363,0
21786,0
252,1
35717,0
22064,1
17847,0
19817,1
34402,1
23744,0
14441,1
10499,0
4741,1
10742,0
28406,1
21965,1
29591,1
7336,0
29837,0
14897,1
35032,0
4325,1
16735,1
29605,0
22118,0
21437,0
1487,1
18856,1
6648,1
39174,0
12272,1
29023,0
8475,0
18188,1
36463,1
16338,0
2644,0
38393,1
21886,1
31835,1
11189,0
9000,0
14061,0
5687,0
23836,0
20498,0
19237,0
18401,0
24693,0
4859,0
33716,0
32744,1
31159,0
9561,0
5961,1
25742,0
17008,0
22047,1
9842,0
23835,0
20628,0
3425,0
22790,0
9060,1
14869,1
27148,0
38784,0
32211,0
33606,0
5757,1
33830,0
3885,1
8439,0
21843,1
31749,1
20578,1
28368,1
37738,1
9025,0
3001,0
38980,1
38602,1
23571,1
39352,0
14742,0
4128,0
19789,1
35250,1
17498,1
37017,0
33114,0
24534,1
4785,1
11816,1
37100,1
6426,1
26659,0
34864,1
29722,1
11398,1
1402,0
13021,0
16797,1
14928,0
34303,1
9125,0
35296,1
15832,1
8194,1
12369,0
22783,0
19682,1
24359,0
32906,1
21717,0
20876,1
6024,1
36530,0
27329,1
9532,0
14736,0
18759,0
4750,1
21328,1
26377,1
18902,0
13455,1
23180,1
39013,0
17398,0
20233,0
16307,0
22309,1
35924,0
32773,0
36933,0
32290,0
21211,1
2624,1
20356,0
2649,1
17930,1
3886,1
7640,0
5215,0
30731,1
5030,0
21716,1
27004,0
27396,1
18335,0
20371,0
13154,1
32908,0
9936,0
16577,1
20958,0
20548,0
25959,0
17224,1
15922,0
11898,1
39906,1
740,1
6319,1
23990,1
16501,1
36902,1
12256,0
2814,0
20885,1
26198,1
9464,1
9282,1
18661,1
38129,1
16671,1
27289,1
35771,0
27351,0
17956,1
14065,0
40357,0
24088,0
36434,1
30395,1
16541,0
37173,0
39830,0
17588,1
29758,1
5377,1
36170,1
816,0
36418,1
10506,0
29481,1
39362,1
4146,1
2464,0
32585,0
6424,0
8239,0
22022,1
22137,0
34613,0
6036,0
26043,0
3829,1
25466,0
19640,0
19513,1
10354,1
25952,0
33111,0
29105,1
729,0
32017,1
32569,0
38655,1
12759,0
21911,1
9604,0
33240,0
8845,1
37402,0
18143,0
657,0
34513,0
5503,0
21511,0
26278,0
18250,0
17873,1
13152,1
16483,0
31183,0
12883,1
30180,1
36293,1
39972,0
28868,0
31207,0
32866,0
21285,1
32258,0
17324,1
26146,1
15118,0
8889,1
14454,1
36145,0
31594,0
33157,0
34365,0
4347,1
38578,0
39563,1
21973,0
25272,0
4903,1
37416,1
9128,0
36922,0
31060,1
40088,1
8042,1
22802,0
38331,0
18365,1
11968,0
40057,1
37782,0
40152,0
40025,1
11418,0
1900,0
29489,0
2875,1
32212,1
27820,0
3391,1
2865,1
25313,0
38414,0
3168,0
21023,1
5925,0
32364,1
30274,0
12591,1
28536,1
23182,0
14487,0
17717,1
17656,0
9366,1
35815,0
13501,1
12301,1
31415,1
31752,1
465,1
11499,0
38027,1
29746,1
10993,0
28965,0
19925,0
3944,1
20755,1
6631,1
21126,1
5567,1
32743,1
1631,0
31170,1
18606,0
8925,1
37629,0
10593,0
4548,1
6361,0
32042,0
2772,0
30919,0
13906,1
33819,0
22172,1
12687,0
39280,1
25504,1
32223,1
19645,0
18345,1
34730,0
2767,1
4884,0
30785,1
38816,1
33601,0
29266,1
23334,1
19632,1
32417,0
36613,0
38391,1
20555,1
30048,1
1045,1
14083,1
9267,1
11455,1
25899,0
19960,0
32044,1
22653,1
28009,0
25807,1
40367,1
5523,1
9172,0
38273,1
16684,0
40161,1
17936,0
19770,1
15662,0
36785,1
18494,0
22524,1
21616,0
38829,1
1993,0
29095,1
1864,1
39066,1
13561,0
19597,0
25262,1
15356,1
21202,1
27616,0
6703,0
1139,0
34383,1
17078,0
8504,0
14420,0
5195,0
36146,1
6914,1
33563,0
23730,1
14791,1
7680,0
38018,0
27310,0
13985,1
8225,1
21617,1
7094,0
16902,1
2608,0
210,0
32929,0
19471,0
13307,1
25798,1
31190,0
29847,0
7653,0
26210,1
3843,1
385,1
13325,0
13557,0
17554,1
3281,0
25200,0
39386,0
28478,1
20459,1
34750,0
10263,0
38351,0
23575,1
14540,0
25606,0
18531,0
21117,0
31804,1
24360,0
26803,1
26980,1
34759,1
30400,1
6482,1
28221,1
15491,0
26597,1
18434,1
35251,1
5373,0
24587,0
30560,1
30152,0
12152,1
7028,1
20006,1
33369,1
26621,1
15444,1
24163,0
3095,1
19898,0
22586,0
24529,1
18519,1
37887,0
9057,1
16084,1
25229,0
33412,1
9632,1
11405,1
482,1
19494,0
1670,1
23665,0
12868,0
28999,0
19931,0
15566,1
33738,0
30506,0
20780,1
36169,0
36398,1
314,0
31005,1
15011,1
7315,1
5987,1
24939,0
217,1
10533,1
30320,0
17721,0
25282,1
39264,0
38785,1
10880,0
37801,1
24328,0
16343,0
7438,1
12690,0
2111,1
13834,0
17054,0
36196,0
625,0
18634,1
13594,0
33013,0
21983,0
37040,1
22896,0
14884,0
25698,0
23020,1
21261,0
9291,0
17902,1
38184,1
22818,1
4419,1
16614,1
8410,1
15253,1
21464,1
26694,0
26846,1
7133,0
39505,1
25347,1
37788,1
18881,1
20322,0
25660,1
28190,0
8034,0
28519,1
29879,1
22306,1
11034,0
7516,1
17503,0
16587,0
19408,0
26770,1
4152,0
39449,1
31053,1
20442,0
1697,0
25335,0
25367,0
25371,0
32519,1
18603,1
6039,1
17537,1
24020,0
36978,1
9798,0
27537,1
1866,1
9826,1
34738,0
1808,0
20767,0
23713,1
22681,0
33728,1
39204,0
26930,1
10378,1
3419,1
20076,0
20867,1
27141,0
17176,1
8193,0
18191,0
35915,0
3416,1
15177,0
24320,1
23231,0
23876,0
11558,1
36175,1
28426,1
6161,0
22138,0
10125,0
37896,1
17457,0
4178,1
4771,0
33871,0
28262,1
23068,0
25042,0
29147,0
18924,1
26787,1
12799,0
28913,1
30494,0
15824,1
2935,0
6972,0
23137,0
14240,0
1033,0
16781,0
14983,1
5288,0
7524,0
23432,0
37742,1
13991,0
37337,0
39061,1
30056,0
7845,1
14057,1
24584,1
11684,0
36752,1
6237,0
24998,1
28870,1
37091,0
14354,1
15550,1
4550,1
20523,0
36947,1
24348,1
5775,0
40013,0
37581,0
23066,1
33235,0
34354,0
32128,0
36955,0
10202,0
26939,0
22377,1
33637,0
10562,0
36969,0
26319,1
