,label
26800,0
35855,0
26936,1
4744,1
3610,1
31022,1
15665,1
9089,1
8880,1
26054,1
30174,1
28094,0
24766,0
16036,1
14858,0
11165,0
16539,1
2764,1
29582,1
9026,1
11757,1
34910,1
40017,1
7742,0
15639,1
11504,1
19044,1
29686,1
38635,0
29202,0
6156,1
5711,1
23549,1
15397,1
31481,0
13004,1
22376,0
23024,1
736,0
21696,0
31877,0
37284,1
28248,0
14171,1
33096,1
16164,1
14113,1
16889,1
26276,0
17660,0
30383,1
18716,0
25691,0
841,1
32215,1
6504,1
12083,0
24909,0
3918,0
36252,1
4220,0
2545,1
1482,0
13153,1
31364,1
21610,0
18611,1
21013,0
19106,0
24728,0
4540,0
2950,0
7510,1
6804,0
7834,0
29042,0
13685,1
29271,0
4496,1
40414,1
27146,1
34361,0
12909,0
37096,0
39507,1
11470,0
12035,0
8634,0
18974,0
23008,1
762,1
30509,0
14914,1
1280,0
25304,1
22976,0
423,0
37863,1
2104,0
2292,0
33516,0
23015,0
11902,1
2973,1
10648,0
35783,1
36775,0
28359,1
39171,0
1977,1
6045,0
11897,0
14095,0
36115,0
23316,0
20292,1
9363,0
13905,1
35238,1
31733,1
36163,0
1838,1
36842,0
11547,0
8184,1
21234,0
5527,0
39496,0
36731,1
8470,0
8873,0
2927,1
3313,0
26394,1
16729,0
12315,1
15599,0
38114,1
22188,0
3427,0
21822,1
13954,1
32458,1
17505,1
7395,0
1458,1
36486,1
30876,0
9620,0
33021,1
13464,1
36279,0
13611,1
34339,1
11990,1
17728,1
19499,1
6069,1
20261,0
14978,0
34213,0
15981,1
40412,1
40355,1
4498,1
6494,1
3234,0
25303,0
25138,1
10675,0
33566,1
6715,1
4196,1
6848,1
1003,1
4774,0
18735,0
11259,1
3874,0
37565,0
19247,1
17816,1
33590,1
15788,1
25725,1
20801,1
10671,1
7570,1
13179,1
23755,0
7889,0
9400,1
34404,0
6419,0
31451,0
26023,0
3500,0
21945,1
15176,1
14092,0
6934,1
38111,0
5337,0
38128,0
5540,1
14607,0
28233,1
34658,0
18068,1
37326,0
8591,0
37688,0
35233,0
14064,1
15917,1
14019,1
36817,0
11645,0
2707,0
18959,1
2127,1
4252,0
28014,1
6128,0
29826,1
2572,1
7934,1
29445,1
27799,0
9405,0
33674,1
8151,1
2052,0
11922,1
8165,0
33883,0
33419,0
23414,1
